trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-557,-557,200,explore,200,85,1
1,0.0,-821,-1396,200,explore,200,85,1
2,0.1400560224089636,-593,-1962,200,explore,200,170,13
3,0.1400560224089636,-677,-2100,200,explore,200,170,13
4,0.1400560224089636,-821,-821,200,exploit,200,170,13
5,0.1400560224089636,-200,-958,200,exploit,200,170,13
6,0.1400560224089636,-785,-2247,200,exploit,200,170,13
7,0.1400560224089636,-695,-2076,200,exploit,200,170,13
8,0.1400560224089636,-200,-1653,200,exploit,200,170,13
9,0.1400560224089636,-200,-1788,200,exploit,200,170,13
10,0.1400560224089636,-776,-2445,200,exploit,200,170,13
11,0.1400560224089636,-893,-2445,200,exploit,200,170,13
12,0.1400560224089636,-920,-2400,200,exploit,200,170,13
13,0.1400560224089636,-200,-1833,200,exploit,200,170,13
